age,sex,time,sim,rate
60-64,Female,2021,7,0.0022627
60-64,Female,2021,8,0.0023722
60-64,Female,2021,9,0.0022417
60-64,Female,2021,10,0.0022684
60-64,Female,2021,11,0.002256
60-64,Female,2021,12,0.0022401
60-64,Female,2021,13,0.0023861
60-64,Female,2021,14,0.0022551
60-64,Female,2021,15,0.0023909
60-64,Female,2021,16,0.0023101
60-64,Female,2021,17,0.0022325
60-64,Female,2021,18,0.0023678
60-64,Female,2021,19,0.0022829
60-64,Female,2021,20,0.0024992
65+,Female,2019,1,9.098e-4
65+,Female,2019,2,8.957e-4
65+,Female,2019,3,8.586e-4
65+,Female,2019,4,8.703e-4
65+,Female,2019,5,8.565e-4
65+,Female,2019,6,8.412e-4
65+,Female,2019,7,9.021e-4
65+,Female,2019,8,8.487e-4
65+,Female,2019,9,9.382e-4
65+,Female,2019,10,9.051e-4
65+,Female,2019,11,8.706e-4
65+,Female,2019,12,8.918e-4
65+,Female,2019,13,9.151e-4
65+,Female,2019,14,9.168e-4
65+,Female,2019,15,9.069e-4
65+,Female,2019,16,9.037e-4
65+,Female,2019,17,8.7e-4
65+,Female,2019,18,9.212e-4
65+,Female,2019,19,8.623e-4
65+,Female,2019,20,9.165e-4
65+,Female,2020,1,9.066e-4
65+,Female,2020,2,8.152e-4
65+,Female,2020,3,8.272e-4
65+,Female,2020,4,8.291e-4
65+,Female,2020,5,8.008e-4
65+,Female,2020,6,7.459e-4
65+,Female,2020,7,8.319e-4
65+,Female,2020,8,7.759e-4
65+,Female,2020,9,8.388e-4
65+,Female,2020,10,8.531e-4
65+,Female,2020,11,8.285e-4
65+,Female,2020,12,7.774e-4
65+,Female,2020,13,8.603e-4
65+,Female,2020,14,8.799e-4
65+,Female,2020,15,8.129e-4
65+,Female,2020,16,8.117e-4
65+,Female,2020,17,8.113e-4
65+,Female,2020,18,8.534e-4
65+,Female,2020,19,8.146e-4
65+,Female,2020,20,8.234e-4
65+,Female,2021,1,7.029e-4
65+,Female,2021,2,7.171e-4
65+,Female,2021,3,7.072e-4
65+,Female,2021,4,6.928e-4
65+,Female,2021,5,6.986e-4
65+,Female,2021,6,6.816e-4
65+,Female,2021,7,6.381e-4
65+,Female,2021,8,6.243e-4
65+,Female,2021,9,7.284e-4
65+,Female,2021,10,7.04e-4
65+,Female,2021,11,7.308e-4
65+,Female,2021,12,6.618e-4
65+,Female,2021,13,7.299e-4
65+,Female,2021,14,7.335e-4
65+,Female,2021,15,7.494e-4
65+,Female,2021,16,6.988e-4
65+,Female,2021,17,6.677e-4
65+,Female,2021,18,7.314e-4
65+,Female,2021,19,6.943e-4
65+,Female,2021,20,7.323e-4
15-19,Male,2019,1,5.1e-6
15-19,Male,2019,2,4.3e-6
15-19,Male,2019,3,5.4e-6
15-19,Male,2019,4,3.5e-6
15-19,Male,2019,5,4.1e-6
15-19,Male,2019,6,3.9e-6
15-19,Male,2019,7,3.9e-6
15-19,Male,2019,8,3.3e-6
15-19,Male,2019,9,4.7e-6
15-19,Male,2019,10,4.7e-6
15-19,Male,2019,11,4.4e-6
15-19,Male,2019,12,3e-6
15-19,Male,2019,13,3.3e-6
15-19,Male,2019,14,4.1e-6
15-19,Male,2019,15,4.7e-6
15-19,Male,2019,16,2.1e-6
15-19,Male,2019,17,4.1e-6
15-19,Male,2019,18,3.7e-6
15-19,Male,2019,19,4.1e-6
15-19,Male,2019,20,3.4e-6
15-19,Male,2020,1,4.4e-6
15-19,Male,2020,2,4.1e-6
15-19,Male,2020,3,4.7e-6
15-19,Male,2020,4,3.2e-6
15-19,Male,2020,5,3.6e-6
15-19,Male,2020,6,3.3e-6
15-19,Male,2020,7,3.3e-6
15-19,Male,2020,8,3.2e-6
15-19,Male,2020,9,4e-6
15-19,Male,2020,10,4.1e-6
15-19,Male,2020,11,3.8e-6
15-19,Male,2020,12,2.6e-6
15-19,Male,2020,13,3.1e-6
15-19,Male,2020,14,3.9e-6
15-19,Male,2020,15,3.9e-6
15-19,Male,2020,16,1.9e-6
15-19,Male,2020,17,3.6e-6
15-19,Male,2020,18,3.4e-6
15-19,Male,2020,19,3.6e-6
15-19,Male,2020,20,3e-6
15-19,Male,2021,1,3.9e-6
15-19,Male,2021,2,3.6e-6
15-19,Male,2021,3,3.8e-6
15-19,Male,2021,4,2.5e-6
15-19,Male,2021,5,2.9e-6
15-19,Male,2021,6,2.9e-6
15-19,Male,2021,7,2.9e-6
15-19,Male,2021,8,2.8e-6
15-19,Male,2021,9,3.5e-6
15-19,Male,2021,10,3.5e-6
15-19,Male,2021,11,3.4e-6
15-19,Male,2021,12,2.3e-6
15-19,Male,2021,13,2.6e-6
15-19,Male,2021,14,3.3e-6
15-19,Male,2021,15,3.5e-6
15-19,Male,2021,16,1.6e-6
15-19,Male,2021,17,3.2e-6
15-19,Male,2021,18,2.9e-6
15-19,Male,2021,19,3e-6
15-19,Male,2021,20,2.4e-6
20-24,Male,2019,1,3.404e-4
20-24,Male,2019,2,3.334e-4
20-24,Male,2019,3,3.541e-4
20-24,Male,2019,4,3.402e-4
20-24,Male,2019,5,3.868e-4
20-24,Male,2019,6,3.561e-4
20-24,Male,2019,7,3.586e-4
20-24,Male,2019,8,3.338e-4
20-24,Male,2019,9,3.669e-4
20-24,Male,2019,10,3.714e-4
20-24,Male,2019,11,3.744e-4
20-24,Male,2019,12,3.651e-4
20-24,Male,2019,13,3.393e-4
20-24,Male,2019,14,3.876e-4
20-24,Male,2019,15,3.772e-4
20-24,Male,2019,16,3.287e-4
20-24,Male,2019,17,3.416e-4
20-24,Male,2019,18,3.65e-4
20-24,Male,2019,19,3.718e-4
20-24,Male,2019,20,3.682e-4
20-24,Male,2020,1,2.97e-4
20-24,Male,2020,2,3.12e-4
20-24,Male,2020,3,3.194e-4
20-24,Male,2020,4,3.076e-4
20-24,Male,2020,5,3.335e-4
20-24,Male,2020,6,3.067e-4
20-24,Male,2020,7,3.211e-4
20-24,Male,2020,8,3.109e-4
20-24,Male,2020,9,3.228e-4
20-24,Male,2020,10,3.222e-4
20-24,Male,2020,11,3.089e-4
20-24,Male,2020,12,3.147e-4
20-24,Male,2020,13,3.157e-4
20-24,Male,2020,14,3.509e-4
20-24,Male,2020,15,3.131e-4
20-24,Male,2020,16,2.994e-4
20-24,Male,2020,17,3.061e-4
20-24,Male,2020,18,3.439e-4
20-24,Male,2020,19,3.263e-4
20-24,Male,2020,20,3.178e-4
20-24,Male,2021,1,2.662e-4
20-24,Male,2021,2,2.624e-4
20-24,Male,2021,3,2.711e-4
20-24,Male,2021,4,2.472e-4
